"location","latest_date","total_cases","icu_patients","highest_recorded_icu_rate"
"Serbia","2021-12-03",1245970.0,353.0,0.93
"Romania","2021-12-03",1756334.0,1902.0,0.85
"Malaysia","2021-12-03",2640938.0,1593.0,0.63
"Bulgaria","2021-12-03",696315.0,813.0,0.60
"Germany","2021-12-03",5938599.0,5745.0,0.44
"Slovenia","2021-12-03",425422.0,289.0,0.41
"Czechia","2021-12-03",2199926.0,2066.0,0.40
"United States","2021-12-03",46296081.0,28891.0,0.34
"Austria","2021-12-03",1168109.0,709.0,0.31
"Italy","2021-12-03",4836685.0,3848.0,0.30
"Algeria","2021-12-03",196840.0,67.0,0.30
"Belgium","2021-12-03",1765958.0,1474.0,0.30
"Malta","2021-12-03",39135.0,30.0,0.27
"France","2021-12-03",8117088.0,6001.0,0.26
"Spain","2021-12-03",4953299.0,4894.0,0.22
"Switzerland","2021-12-03",1012782.0,534.0,0.22
"Portugal","2021-12-03",1114898.0,904.0,0.21
"Estonia","2021-12-03",222206.0,76.0,0.21
"Sweden","2021-12-03",1143537.0,420.0,0.20
"Luxembourg","2021-12-03",86429.0,50.0,0.19
