"location","date","total_vaccinations"
"Argentina","2021-01-21",17791.0
"Argentina","2021-01-22",31669.0
"Argentina","2021-01-23",40131.0
"Argentina","2021-01-24",44090.0
"Argentina","2021-01-25",44453.0
"Argentina","2021-01-26",57947.0
"Argentina","2021-01-27",70100.0
"Argentina","2021-01-28",80066.0
"Argentina","2021-01-29",96101.0
"Argentina","2021-01-30",118451.0
"Argentina","2021-02-04",165907.0
"Argentina","2021-02-07",195676.0
"Argentina","2021-02-08",206106.0
"Argentina","2021-02-09",207702.0
"Argentina","2021-02-10",229827.0
"Argentina","2021-02-11",267452.0
"Argentina","2021-02-12",286156.0
"Argentina","2021-02-13",300769.0
"Argentina","2021-02-14",304129.0
"Argentina","2021-02-15",304315.0
"Argentina","2021-02-16",305693.0
"Argentina","2021-02-17",306846.0
"Argentina","2021-02-18",330107.0
"Argentina","2021-02-19",363178.0
"Argentina","2021-02-20",401672.0
"Argentina","2021-02-21",414791.0
"Argentina","2021-02-22",416758.0
"Argentina","2021-02-23",441139.0
"Argentina","2021-02-24",474979.0
"Argentina","2021-02-25",524356.0
"Argentina","2021-02-26",598439.0
"Argentina","2021-02-27",679419.0
"Argentina","2021-02-28",719527.0
"Argentina","2021-03-01",743693.0
"Argentina","2021-03-02",820632.0
"Argentina","2021-03-03",875816.0
"Argentina","2021-03-04",946985.0
"Argentina","2021-03-05",1052120.0
"Argentina","2021-03-08",1072741.0
"Argentina","2021-03-09",1174999.0
"Argentina","2021-03-10",1300480.0
"Argentina","2021-03-11",1445116.0
"Argentina","2021-03-12",1624247.0
"Argentina","2021-03-13",1820780.0
"Argentina","2021-03-14",1907471.0
"Argentina","2021-03-15",1930236.0
"Argentina","2021-03-16",2067404.0
"Argentina","2021-03-17",2194145.0
"Argentina","2021-03-18",2331195.0
"Argentina","2021-03-19",2465406.0
"Argentina","2021-03-20",2589906.0
"Argentina","2021-03-21",2645870.0
"Argentina","2021-03-22",2668486.0
"Argentina","2021-03-23",2766773.0
"Argentina","2021-03-24",2854975.0
"Argentina","2021-03-25",2891881.0
"Argentina","2021-03-26",3000457.0
"Argentina","2021-03-27",3096502.0
"Argentina","2021-03-28",3151325.0
"Argentina","2021-03-29",3172110.0
"Argentina","2021-03-30",3270608.0
"Argentina","2021-03-31",3417974.0
"Argentina","2021-04-01",3549059.0
"Argentina","2021-04-02",3649194.0
"Argentina","2021-04-03",3704938.0
"Argentina","2021-04-04",3760547.0
"Argentina","2021-04-05",3786850.0
"Argentina","2021-04-06",3930217.0
"Argentina","2021-04-07",4097861.0
"Argentina","2021-04-08",4297256.0
"Argentina","2021-04-09",4482065.0
"Argentina","2021-04-10",4727510.0
"Argentina","2021-04-11",4839654.0
"Argentina","2021-04-12",4916042.0
"Argentina","2021-04-13",5097920.0
"Argentina","2021-04-14",5280961.0
"Argentina","2021-04-15",5461188.0
"Argentina","2021-04-16",5619058.0
"Argentina","2021-04-17",5752914.0
"Argentina","2021-04-18",5814854.0
"Argentina","2021-04-19",5860596.0
"Argentina","2021-04-20",5959183.0
"Argentina","2021-04-21",6076610.0
"Argentina","2021-04-22",6219480.0
"Argentina","2021-04-23",6333453.0
"Argentina","2021-04-24",6543321.0
"Argentina","2021-04-25",6660991.0
"Argentina","2021-04-26",6740746.0
"Argentina","2021-04-27",6912692.0
"Argentina","2021-04-28",7084028.0
"Argentina","2021-04-29",7241048.0
"Argentina","2021-04-30",7391255.0
"Argentina","2021-05-01",7497512.0
"Argentina","2021-05-02",7523944.0
"Argentina","2021-05-03",7565835.0
"Argentina","2021-05-04",7723053.0
"Argentina","2021-05-05",7917555.0
"Argentina","2021-05-06",8117103.0
"Argentina","2021-05-07",8346733.0
"Argentina","2021-05-08",8527789.0
"Argentina","2021-05-09",8608639.0
"Argentina","2021-05-10",8648801.0
"Argentina","2021-05-11",8763047.0
"Argentina","2021-05-12",8909987.0
"Argentina","2021-05-13",9067553.0
"Argentina","2021-05-14",9230406.0
"Argentina","2021-05-15",9388665.0
